iter	Passed	Remaining
866	27454	4211
867	27490	4180
868	27512	4147
869	27519	4112
870	27548	4080
871	27571	4047
872	27583	4012
873	27599	3978
874	27625	3946
875	27632	3911
876	27646	3877
877	27654	3842
878	27667	3808
879	27679	3774
880	27695	3740
881	27719	3708
882	27725	3673
883	27749	3641
884	27773	3609
885	27792	3575
886	27812	3543
887	27835	3510
888	27869	3479
889	27913	3449
890	27942	3418
891	27961	3385
892	27977	3352
893	27990	3318
894	27997	3284
895	28022	3252
896	28035	3219
897	28049	3186
898	28069	3153
899	28075	3119
900	28090	3086
901	28108	3053
902	28133	3022
903	28156	2990
904	28186	2958
905	28205	2926
906	28247	2896
907	28272	2864
908	28284	2831
909	28306	2799
910	28338	2768
911	28371	2737
912	28397	2706
913	28412	2673
914	28418	2639
915	28428	2606
916	28437	2573
917	28444	2540
918	28450	2507
919	28456	2474
920	28461	2441
921	28466	2408
922	28473	2375
923	28488	2343
924	28506	2311
925	28514	2278
926	28528	2246
927	28544	2214
928	28550	2182
929	28556	2149
930	28562	2116
931	28571	2084
932	28579	2052
933	28591	2020
934	28602	1988
935	28608	1956
936	28623	1924
937	28628	1892
938	28634	1860
939	28643	1828
940	28656	1796
941	28662	1764
942	28669	1732
943	28674	1701
944	28682	1669
945	28694	1637
946	28708	1606
947	28715	1575
948	28729	1543
949	28739	1512
950	28744	1481
951	28761	1450
952	28766	1418
953	28773	1387
954	28777	1356
955	28781	1324
956	28786	1293
957	28793	1262
958	28797	1231
959	28803	1200
960	28809	1169
961	28814	1138
962	28819	1107
963	28823	1076
964	28827	1045
965	28834	1014
966	28841	984
967	28846	953
968	28850	922
969	28854	892
970	28857	861
971	28860	831
972	28864	800
973	28867	770
974	28871	740
975	28875	710
976	28879	679
977	28883	649
978	28887	619
979	28891	589
980	28895	559
981	28898	529
982	28902	499
983	28905	470
984	28909	440
985	28913	410
986	28917	380
987	28921	351
988	28929	321
989	28933	292
990	28937	262
991	28941	233
992	28945	204
993	28948	174
994	28952	145
995	28956	116
996	28959	87
997	28963	58
998	28967	28
999	28970	0
8624	28
999	28628	0
